"filename", "language", "Dart", "XML", "C++", "CMake", "YAML", "Groovy", "JSON", "Properties", "Markdown", "HTML", "Swift", "comment", "blank", "total"
"/Users/andreistroe/Documents/AiOrganization/lib/Core/Search.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 83
"/Users/andreistroe/Documents/AiOrganization/lib/Models/Account.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 72
"/Users/andreistroe/Documents/AiOrganization/lib/Models/Activity.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 64
"/Users/andreistroe/Documents/AiOrganization/lib/Models/AppState.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 32
"/Users/andreistroe/Documents/AiOrganization/lib/Models/Collection.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 84
"/Users/andreistroe/Documents/AiOrganization/lib/Models/Label.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/andreistroe/Documents/AiOrganization/lib/Models/SubActivity.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/andreistroe/Documents/AiOrganization/lib/Models/Task.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Actions/AccountActions.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Actions/ActivitiesActions.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 67
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Actions/CollectionActions.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 85
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Actions/TaskActions.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Middleware/AccountMiddleware.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 89
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Middleware/ActivitiesMiddleware.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 61
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Middleware/CoreSystemMiddleware.dart", "Dart", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 103
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Reducers/AccountReducers.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Reducers/ActivitiesReducers.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 52, 258
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Reducers/AppStateReducer.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Reducers/CollectionsReducers.dart", "Dart", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 51, 248
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Reducers/TaskReducers.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 30, 121
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/Store.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/ViewModels/AccountVM.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/ViewModels/ActivitiesVM.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 60
"/Users/andreistroe/Documents/AiOrganization/lib/Redux/ViewModels/CollectionsVM.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 70
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Activities/ActivitiesHeader.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Activities/ActivitiesScreen.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Activities/ActivitiesTabs.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 71
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/ActivitiesScreen.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 91
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/Login/LoginForm.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/Login/LoginMessage.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/Login/LoginScreen.dart", "Dart", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 90
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/RegisteAccount/RegisterScreen.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 95
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/RegisteAccount/RegisterWithEmail.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 104
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/RegisteAccount/RegisterWithService.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 68
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/RegisterSecurity/RegisterSecurityForm.dart", "Dart", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 126
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/RegisterSecurity/RegisterSecurityMessage.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Authentification/RegisterSecurity/RegisterSecurityScreen.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Calendar/CalendarHeader.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Calendar/CalendarScreen.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Calendar/CalendarTaskTabs.dart", "Dart", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 33, 250
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CollectionTasksBody.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 64
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CollectionTasksHeader.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 65
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CollectionTasksScreen.dart", "Dart", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27, 258
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CustomizeCollection/CustomizeCollectionColors.dart", "Dart", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 109
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CustomizeCollection/CustomizeCollectionIcon.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 147
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CustomizeCollection/CustomizeColletionPanel.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 108
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CustomizeTask/CustomizeTaskDate.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 124
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CustomizeTask/CustomizeTaskDateButton.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 68
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CustomizeTask/CustomizeTaskLabel.dart", "Dart", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 180
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/CollectionTasks/CustomizeTask/CustomizeTaskPanel.dart", "Dart", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 170
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Collections/CollectionsHeader.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Collections/CollectionsScreen.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/Collections/CollectionsTabs.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 69
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/HomePage/HomePageHeader.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 94
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/HomePage/HomePageNoTasks.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/HomePage/HomePageScreen.dart", "Dart", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 156
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/HomePage/HomePageTasks.dart", "Dart", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 152
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/InitScreen.dart", "Dart", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 114
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/SubActivities/SubActivitiesHeader.dart", "Dart", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 26, 195
"/Users/andreistroe/Documents/AiOrganization/lib/Screens/SubActivities/SubActivitiesScreen.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 128
